ROK;PNA;GMINA;POWIAT;WOJEWODZTWO
2014;32-310;Klucze;olkuski;małopolskie
2014;32-312;Klucze;olkuski;małopolskie
2014;78-554;Czaplinek;drawski;zachodniopomorskie
2014;29-120;Kluczewsko;włoszczowski;świętokrzyskie
2014;24-300;Opole Lubelskie;opolski;lubelskie
2014;17-330;Nurzec-Stacja;siemiatycki;podlaskie
2014;34-440;Czorsztyn;nowotarski;małopolskie
2014;32-015;Kłaj;wielicki;małopolskie
2014;76-020;Bobolice;koszaliński;zachodniopomorskie
2014;11-100;Lidzbark Warmiński;lidzbarski;warmińsko-mazurskie
2014;42-100;Kłobuck;kłobucki;śląskie
2014;42-125;Kłobuck;kłobucki;śląskie
2014;42-152;Opatów;kłobucki;śląskie
2014;08-550;Kłoczew;rycki;lubelskie
2014;64-131;Rydzyna;leszczyński;wielkopolskie
2014;62-650;Kłodawa;kolski;wielkopolskie
2014;62-652;Chodów;kolski;wielkopolskie
2014;62-635;Przedecz;kolski;wielkopolskie
2014;66-415;Kłodawa;gorzowski;lubuskie
2014;57-302;Kłodzko;kłodzki;dolnośląskie
2014;57-300;Kłodzko;kłodzki;dolnośląskie
2014;57-301;Kłodzko;kłodzki;dolnośląskie
2014;57-300;Kłodzko;kłodzki;dolnośląskie
2014;57-303;Kłodzko;kłodzki;dolnośląskie
2014;57-304;Kłodzko;kłodzki;dolnośląskie
2014;57-360;Kłodzko;kłodzki;dolnośląskie
2014;42-270;Kłomnice;częstochowski;śląskie
2014;74-505;Mieszkowice;gryfiński;zachodniopomorskie
2014;87-841;Lubień Kujawski;włocławski;kujawsko-pomorskie
2014;37-403;Pysznica;stalowowolski;podkarpackie
2014;84-252;Wejherowo;wejherowski;pomorskie
2014;44-191;Knurów;gliwicki;śląskie
2014;44-193;Knurów;gliwicki;śląskie
2014;44-190;Knurów;gliwicki;śląskie
2014;44-190;Knurów;gliwicki;śląskie
2014;44-194;Knurów;gliwicki;śląskie
2014;44-196;Knurów;gliwicki;śląskie
2014;19-120;Knyszyn;moniecki;podlaskie
2014;19-120;Knyszyn;moniecki;podlaskie
2014;19-120;Krypno;moniecki;podlaskie
2014;97-524;Kobiele Wielkie;radomszczański;łódzkie
2014;43-356;Porąbka;bielski;śląskie
2014;63-700;Krotoszyn;krotoszyński;wielkopolskie
2014;55-040;Kobierzyce;wrocławski;dolnośląskie
2014;55-040;Jordanów Śląski;wrocławski;dolnośląskie
2014;43-210;Kobiór;pszczyński;śląskie
2014;11-300;Biskupiec;olsztyński;warmińsko-mazurskie
2014;57-200;Ciepłowody;ząbkowicki;dolnośląskie
2014;63-507;Kobyla Góra;ostrzeszowski;wielkopolskie
2014;38-462;Chorkówka;krośnieński;podkarpackie
2014;63-740;Kobylin;krotoszyński;wielkopolskie
2014;62-006;Swarzędz;poznański;wielkopolskie
2014;76-251;Kobylnica;słupski;pomorskie
2014;05-230;Kobyłka;wołomiński;mazowieckie
2014;05-231;Kobyłka;wołomiński;mazowieckie
2014;42-713;Kochanowice;lubliniecki;śląskie
2014;99-414;Kocierzew Południowy;łowicki;łódzkie
2014;12-202;Pisz;piski;warmińsko-mazurskie
2014;97-426;Zelów;bełchatowski;łódzkie
2014;21-150;Kock;lubartowski;lubelskie
2014;23-304;Dzwola;janowski;lubelskie
2014;77-220;Koczała;człuchowski;pomorskie
2014;21-211;Dębowa Kłoda;parczewski;lubelskie
2014;21-509;Kodeń;bialski;lubelskie
2014;97-512;Kodrąb;radomszczański;łódzkie
2014;62-817;Żelazków;kaliski;wielkopolskie
2014;42-231;Mykanów;częstochowski;śląskie
2014;83-207;Starogard Gdański;starogardzki;pomorskie
2014;83-050;Kolbudy;gdański;pomorskie
2014;36-100;Kolbuszowa;kolbuszowski;podkarpackie
2014;36-100;Kolbuszowa;kolbuszowski;podkarpackie
2014;36-101;Kolbuszowa;kolbuszowski;podkarpackie
2014;36-145;Kolbuszowa;kolbuszowski;podkarpackie
2014;84-207;Szemud;wejherowski;pomorskie
2014;73-115;Dolice;stargardzki;zachodniopomorskie
2014;18-500;Kolno;kolneński;podlaskie
2014;18-500;Kolno;kolneński;podlaskie
2014;18-500;Mały Płock;kolneński;podlaskie
2014;83-140;Gniew;tczewski;pomorskie
2014;47-113;Kolonowskie;strzelecki;opolskie
2014;95-040;Koluszki;łódzki wschodni;łódzkie
2014;95-041;Koluszki;łódzki wschodni;łódzkie
2014;95-040;Koluszki;łódzki wschodni;łódzkie
2014;95-060;Dmosin;brzeziński;łódzkie
2014;28-100;Busko-Zdrój;buski;świętokrzyskie
2014;89-200;Szubin;nakielski;kujawsko-pomorskie
2014;06-407;Opinogóra Górna;ciechanowski;mazowieckie
2014;38-213;Kołaczyce;jasielski;podkarpackie
2014;38-212;Brzyska;jasielski;podkarpackie
2014;74-106;Stare Czarnowo;gryfiński;zachodniopomorskie
2014;05-340;Kołbiel;otwocki;mazowieckie
2014;72-514;Wolin;kamieński;zachodniopomorskie
2014;77-140;Kołczygłowy;bytowski;pomorskie
2014;62-603;Koło;kolski;wielkopolskie
2014;62-600;Koło;kolski;wielkopolskie
2014;62-640;Grzegorzew;kolski;wielkopolskie
2014;62-602;Koło;kolski;wielkopolskie
2014;62-601;Koło;kolski;wielkopolskie
2014;62-604;Kościelec;kolski;wielkopolskie
2014;62-613;Osiek Mały;kolski;wielkopolskie
2014;78-100;Kołobrzeg;kołobrzeski;zachodniopomorskie
2014;78-113;Dygowo;kołobrzeski;zachodniopomorskie
2014;78-131;Kołobrzeg;kołobrzeski;zachodniopomorskie
2014;78-120;Gościno;kołobrzeski;zachodniopomorskie
2014;78-100;Kołobrzeg;kołobrzeski;zachodniopomorskie
2014;78-101;Kołobrzeg;kołobrzeski;zachodniopomorskie
2014;78-104;Kołobrzeg;kołobrzeski;zachodniopomorskie
2014;78-103;Kołobrzeg;kołobrzeski;zachodniopomorskie
2014;78-100;Kołobrzeg;kołobrzeski;zachodniopomorskie
2014;78-106;Kołobrzeg;kołobrzeski;zachodniopomorskie
2014;78-123;Siemyśl;kołobrzeski;zachodniopomorskie
2014;78-102;Kołobrzeg;kołobrzeski;zachodniopomorskie
2014;78-105;Kołobrzeg;kołobrzeski;zachodniopomorskie
2014;21-311;Komarówka Podlaska;radzyński;lubelskie
2014;22-435;Komarów-Osada;zamojski;lubelskie
2014;38-420;Korczyna;krośnieński;podkarpackie
2014;59-102;Polkowice;polkowicki;dolnośląskie
2014;62-052;Komorniki;poznański;wielkopolskie
2014;62-056;Komorniki;poznański;wielkopolskie
2014;82-301;Elbląg;elbląski;warmińsko-mazurskie
2014;46-070;Komprachcice;opolski;opolskie
2014;63-912;Miejska Górka;rawicki;wielkopolskie
2014;62-070;Dopiewo;poznański;wielkopolskie
2014;18-404;Łomża;łomżyński;podlaskie
2014;89-607;Konarzyny;chojnicki;pomorskie
2014;83-430;Stara Kiszewa;kościerski;pomorskie
2014;87-702;Koneck;aleksandrowski;kujawsko-pomorskie
2014;87-705;Zakrzewo;aleksandrowski;kujawsko-pomorskie
2014;43-474;Istebna;cieszyński;śląskie
2014;42-230;Koniecpol;częstochowski;śląskie
2014;42-230;Koniecpol;częstochowski;śląskie
2014;28-200;Staszów;staszowski;świętokrzyskie
2014;62-500;Konin;Konin;wielkopolskie
2014;62-505;Konin;Konin;wielkopolskie
2014;62-500;Konin;Konin;wielkopolskie
2014;62-510;Konin;Konin;wielkopolskie
2014;62-500;Konin;Konin;wielkopolskie
2014;62-507;Konin;Konin;wielkopolskie
2014;62-509;Konin;Konin;wielkopolskie
2014;62-500;Konin;Konin;wielkopolskie
2014;62-504;Konin;Konin;wielkopolskie
2014;62-571;Stare Miasto;koniński;wielkopolskie
2014;62-510;Konin;Konin;wielkopolskie
2014;62-501;Konin;Konin;wielkopolskie
2014;62-506;Konin;Konin;wielkopolskie
2014;62-502;Konin;Konin;wielkopolskie
2014;62-508;Konin;Konin;wielkopolskie
2014;62-510;Konin;Konin;wielkopolskie
2014;62-503;Konin;Konin;wielkopolskie
2014;62-507;Konin;Konin;wielkopolskie
2014;32-104;Koniusza;proszowicki;małopolskie
2014;42-274;Konopiska;częstochowski;śląskie
2014;06-560;Stupsk;mławski;mazowieckie
2014;06-561;Stupsk;mławski;mazowieckie
2014;67-416;Kolsko;nowosolski;lubuskie
2014;16-070;Choroszcz;białostocki;podlaskie
2014;48-340;Głuchołazy;nyski;opolskie
2014;05-510;Konstancin-Jeziorna;piaseczyński;mazowieckie
2014;05-510;Konstancin-Jeziorna;piaseczyński;mazowieckie
2014;05-520;Konstancin-Jeziorna;piaseczyński;mazowieckie
2014;05-520;Konstancin-Jeziorna;piaseczyński;mazowieckie
2014;21-543;Konstantynów;bialski;lubelskie
2014;95-050;Konstantynów Łódzki;pabianicki;łódzkie
2014;95-083;Lutomiersk;pabianicki;łódzkie
2014;95-050;Konstantynów Łódzki;pabianicki;łódzkie
2014;82-200;Miłoradz;malborski;pomorskie
2014;43-410;Zebrzydowice;cieszyński;śląskie
2014;43-419;Hażlach;cieszyński;śląskie
2014;26-200;Końskie;konecki;świętokrzyskie
2014;26-200;Końskie;konecki;świętokrzyskie
2014;26-202;Końskie;konecki;świętokrzyskie
2014;24-130;Końskowola;puławski;lubelskie
2014;64-225;Siedlec;wolsztyński;wielkopolskie
2014;58-560;Stara Kamienica;jeleniogórski;dolnośląskie
2014;42-674;Zbrosławice;tarnogórski;śląskie
2014;37-420;Rudnik nad Sanem;niżański;podkarpackie
2014;62-411;Zagórów;słupecki;wielkopolskie
2014;27-660;Koprzywnica;sandomierski;świętokrzyskie
2014;38-459;Chorkówka;krośnieński;podkarpackie
2014;08-108;Korczew;siedlecki;mazowieckie
2014;38-420;Korczyna;krośnieński;podkarpackie
2014;48-317;Korfantów;nyski;opolskie
2014;86-230;Lisewo;chełmiński;kujawsko-pomorskie
2014;83-400;Kościerzyna;kościerski;pomorskie
2014;08-205;Stara Kornica;łosicki;mazowieckie
2014;44-285;Kornowac;raciborski;śląskie
2014;86-010;Koronowo;bydgoski;kujawsko-pomorskie
2014;86-010;Koronowo;bydgoski;kujawsko-pomorskie
2014;86-011;Koronowo;bydgoski;kujawsko-pomorskie
2014;11-430;Korsze;kętrzyński;warmińsko-mazurskie
2014;23-400;Biłgoraj;biłgorajski;lubelskie
2014;08-455;Trojanów;garwoliński;mazowieckie
2014;28-305;Sobków;jędrzejowski;świętokrzyskie
2014;07-120;Korytnica;węgrowski;mazowieckie
2014;73-200;Choszczno;choszczeński;zachodniopomorskie
2014;86-100;Bukowiec;świecki;kujawsko-pomorskie
2014;62-831;Mycielin;kaliski;wielkopolskie
2014;82-500;Kwidzyn;kwidzyński;pomorskie
2014;18-500;Mały Płock;kolneński;podlaskie
2014;33-322;Korzenna;nowosądecki;małopolskie
2014;55-141;Żmigród;trzebnicki;dolnośląskie
2014;66-600;Dąbie;krośnieński;lubuskie
2014;23-235;Annopol;kraśnicki;lubelskie
2014;37-100;Łańcut;łańcucki;podkarpackie
2014;78-522;Złocieniec;drawski;zachodniopomorskie
2014;22-470;Zwierzyniec;zamojski;lubelskie
2014;63-800;Gostyń;gostyński;wielkopolskie
2014;08-330;Kosów Lacki;sokołowski;mazowieckie
2014;08-322;Ceranów;sokołowski;mazowieckie
2014;84-250;Gniewino;wejherowski;pomorskie
2014;21-509;Kodeń;bialski;lubelskie
2014;46-221;Byczyna;kluczborski;opolskie
2014;58-533;Mysłakowice;jeleniogórski;dolnośląskie
2014;62-025;Kostrzyn;poznański;wielkopolskie
2014;66-470;Kostrzyn nad Odrą;gorzowski;lubuskie
2014;66-470;Kostrzyn nad Odrą;gorzowski;lubuskie
2014;62-025;Kostrzyn;poznański;wielkopolskie
2014;75-202;Koszalin;Koszalin;zachodniopomorskie
2014;75-350;Koszalin;Koszalin;zachodniopomorskie
2014;75-814;Koszalin;Koszalin;zachodniopomorskie
2014;75-016;Koszalin;Koszalin;zachodniopomorskie
2014;75-016;Biesiekierz;koszaliński;zachodniopomorskie
2014;76-039;Biesiekierz;koszaliński;zachodniopomorskie
2014;76-015;Manowo;koszaliński;zachodniopomorskie
2014;75-016;Świeszyno;koszaliński;zachodniopomorskie
2014;75-900;Koszalin;Koszalin;zachodniopomorskie
2014;75-640;Koszalin;Koszalin;zachodniopomorskie
2014;75-202;Koszalin;Koszalin;zachodniopomorskie
2014;75-202;Będzino;koszaliński;zachodniopomorskie
2014;76-038;Będzino;koszaliński;zachodniopomorskie
2014;75-113;Koszalin;Koszalin;zachodniopomorskie
2014;75-847;Koszalin;Koszalin;zachodniopomorskie
2014;75-202;Będzino;koszaliński;zachodniopomorskie
2014;75-606;Koszalin;Koszalin;zachodniopomorskie
2014;75-350;Koszalin;Koszalin;zachodniopomorskie
2014;75-617;Koszalin;Koszalin;zachodniopomorskie
2014;75-238;Koszalin;Koszalin;zachodniopomorskie
2014;75-454;Koszalin;Koszalin;zachodniopomorskie
2014;75-455;Koszalin;Koszalin;zachodniopomorskie
2014;42-286;Koszęcin;lubliniecki;śląskie
2014;32-130;Koszyce;proszowicki;małopolskie
2014;64-000;Kościan;kościański;wielkopolskie
2014;64-000;Kościan;kościański;wielkopolskie
2014;64-000;Kościan;kościański;wielkopolskie
2014;64-000;Kościan;kościański;wielkopolskie
2014;64-009;Kościan;kościański;wielkopolskie
2014;64-000;Kościan;kościański;wielkopolskie
2014;64-000;Kościan;kościański;wielkopolskie
2014;42-242;Rędziny;częstochowski;śląskie
2014;88-170;Pakość;inowrocławski;kujawsko-pomorskie
2014;62-831;Mycielin;kaliski;wielkopolskie
2014;82-202;Malbork;malborski;pomorskie
2014;46-331;Radłów;oleski;opolskie
2014;34-511;Kościelisko;tatrzański;małopolskie
2014;62-800;Gołuchów;pleszewski;wielkopolskie
2014;49-313;Lubsza;brzeski;opolskie
2014;83-402;Kościerzyna;kościerski;pomorskie
2014;83-400;Kościerzyna;kościerski;pomorskie
2014;83-401;Kościerzyna;kościerski;pomorskie
2014;12-122;Jedwabno;szczycieński;warmińsko-mazurskie
2014;63-220;Kotlin;jarociński;wielkopolskie
2014;63-460;Nowe Skalmierzyce;ostrowski;wielkopolskie
2014;44-181;Toszek;gliwicki;śląskie
2014;08-130;Kotuń;siedlecki;mazowieckie
2014;87-820;Kowal;włocławski;kujawsko-pomorskie
2014;87-821;Baruchowo;włocławski;kujawsko-pomorskie
2014;26-624;Kowala;radomski;mazowieckie
2014;19-420;Kowale Oleckie;olecki;warmińsko-mazurskie
2014;62-707;Kawęczyn;turecki;wielkopolskie
2014;63-300;Pleszew;pleszewski;wielkopolskie
2014;87-410;Kowalewo Pomorskie;golubsko-dobrzyński;kujawsko-pomorskie
2014;26-712;Kazanów;zwoleński;mazowieckie
2014;69-110;Rzepin;słubicki;lubuskie
2014;64-601;Oborniki;obornicki;wielkopolskie
2014;58-530;Kowary;jeleniogórski;dolnośląskie
2014;58-533;Mysłakowice;jeleniogórski;dolnośląskie
2014;58-530;Kowary;jeleniogórski;dolnośląskie
2014;58-530;Kowary;jeleniogórski;dolnośląskie
2014;18-421;Piątnica;łomżyński;podlaskie
2014;09-138;Raciąż;płoński;mazowieckie
2014;42-350;Koziegłowy;myszkowski;śląskie
2014;62-027;Czerwonak;poznański;wielkopolskie
2014;62-029;Czerwonak;poznański;wielkopolskie
2014;26-900;Kozienice;kozienicki;mazowieckie
2014;26-900;Kozienice;kozienicki;mazowieckie
2014;26-900;Kozienice;kozienicki;mazowieckie
2014;26-903;Głowaczów;kozienicki;mazowieckie
2014;26-901;Kozienice;kozienicki;mazowieckie
2014;16-002;Dobrzyniewo Duże;białostocki;podlaskie
2014;46-310;Gorzów Śląski;oleski;opolskie
2014;13-124;Kozłowo;nidzicki;warmińsko-mazurskie
2014;28-366;Małogoszcz;jędrzejowski;świętokrzyskie
2014;43-340;Kozy;bielski;śląskie
2014;88-230;Piotrków Kujawski;radziejowski;kujawsko-pomorskie
2014;32-020;Wieliczka;wielicki;małopolskie
2014;62-721;Brudzew;turecki;wielkopolskie
2014;63-720;Koźmin Wielkopolski;krotoszyński;wielkopolskie
2014;62-840;Koźminek;kaliski;wielkopolskie
2014;67-120;Kożuchów;nowosolski;lubuskie
2014;47-300;Krapkowice;krapkowicki;opolskie
2014;62-035;Kórnik;poznański;wielkopolskie
2014;62-036;Kórnik;poznański;wielkopolskie
2014;62-035;Kórnik;poznański;wielkopolskie
2014;24-320;Poniatowa;opolski;lubelskie
2014;37-100;Łańcut;łańcucki;podkarpackie
2014;77-430;Krajenka;złotowski;wielkopolskie
2014;30-149;Kraków;Kraków;małopolskie
2014;31-200;Kraków;Kraków;małopolskie
2014;30-105;Kraków;Kraków;małopolskie
2014;30-075;Kraków;Kraków;małopolskie
2014;31-302;Kraków;Kraków;małopolskie
2014;31-973;Kraków;Kraków;małopolskie
2014;31-580;Kraków;Kraków;małopolskie
2014;31-635;Kraków;Kraków;małopolskie
2014;30-800;Kraków;Kraków;małopolskie
2014;30-813;Kraków;Kraków;małopolskie
2014;30-532;Kraków;Kraków;małopolskie
2014;30-104;Kraków;Kraków;małopolskie
2014;30-732;Kraków;Kraków;małopolskie
2014;30-836;Kraków;Kraków;małopolskie
2014;30-309;Kraków;Kraków;małopolskie
2014;30-363;Kraków;Kraków;małopolskie
2014;30-300;Kraków;Kraków;małopolskie
2014;30-509;Kraków;Kraków;małopolskie
2014;30-799;Kraków;Kraków;małopolskie
2014;30-505;Kraków;Kraków;małopolskie
2014;30-420;Kraków;Kraków;małopolskie
2014;30-422;Kraków;Kraków;małopolskie
2014;30-633;Kraków;Kraków;małopolskie
2014;30-809;Kraków;Kraków;małopolskie
2014;30-384;Kraków;Kraków;małopolskie
2014;30-833;Kraków;Kraków;małopolskie
2014;30-681;Kraków;Kraków;małopolskie
2014;30-681;Kraków;Kraków;małopolskie
2014;30-611;Kraków;Kraków;małopolskie
2014;30-418;Kraków;Kraków;małopolskie
2014;31-520;Kraków;Kraków;małopolskie
2014;31-143;Kraków;Kraków;małopolskie
2014;31-050;Kraków;Kraków;małopolskie
2014;31-424;Kraków;Kraków;małopolskie
2014;31-850;Kraków;Kraków;małopolskie
2014;31-417;Kraków;Kraków;małopolskie
2014;31-422;Kraków;Kraków;małopolskie
2014;31-161;Kraków;Kraków;małopolskie
2014;31-071;Kraków;Kraków;małopolskie
2014;31-456;Kraków;Kraków;małopolskie
2014;31-045;Kraków;Kraków;małopolskie
2014;30-960;Kraków;Kraków;małopolskie
2014;31-045;Kraków;Kraków;małopolskie
2014;31-132;Kraków;Kraków;małopolskie
2014;30-902;Kraków;Kraków;małopolskie
2014;30-902;Kraków;Kraków;małopolskie
2014;30-860;Kraków;Kraków;małopolskie
2014;30-902;Kraków;Kraków;małopolskie
2014;31-151;Kraków;Kraków;małopolskie
2014;30-961;Kraków;Kraków;małopolskie
2014;31-000;Kraków;Kraków;małopolskie
2014;31-210;Kraków;Kraków;małopolskie
2014;30-309;Kraków;Kraków;małopolskie
2014;30-953;Kraków;Kraków;małopolskie
2014;30-309;Kraków;Kraków;małopolskie
2014;30-309;Kraków;Kraków;małopolskie
2014;30-309;Kraków;Kraków;małopolskie
2014;30-420;Kraków;Kraków;małopolskie
2014;30-639;Kraków;Kraków;małopolskie
2014;31-233;Kraków;Kraków;małopolskie
2014;30-041;Kraków;Kraków;małopolskie
2014;30-041;Kraków;Kraków;małopolskie
2014;31-200;Kraków;Kraków;małopolskie
2014;30-962;Kraków;Kraków;małopolskie
2014;31-200;Kraków;Kraków;małopolskie
2014;30-692;Kraków;Kraków;małopolskie
2014;31-313;Kraków;Kraków;małopolskie
2014;30-093;Kraków;Kraków;małopolskie
2014;30-950;Kraków;Kraków;małopolskie
2014;30-198;Kraków;Kraków;małopolskie
2014;30-093;Kraków;Kraków;małopolskie
2014;30-067;Kraków;Kraków;małopolskie
2014;30-032;Kraków;Kraków;małopolskie
2014;30-950;Kraków;Kraków;małopolskie
2014;30-220;Kraków;Kraków;małopolskie
2014;30-952;Kraków;Kraków;małopolskie
2014;30-697;Kraków;Kraków;małopolskie
2014;30-956;Kraków;Kraków;małopolskie
2014;31-903;Kraków;Kraków;małopolskie
2014;30-969;Kraków;Kraków;małopolskie
2014;31-934;Kraków;Kraków;małopolskie
2014;31-970;Kraków;Kraków;małopolskie
2014;31-955;Kraków;Kraków;małopolskie
2014;31-959;Kraków;Kraków;małopolskie
2014;31-643;Kraków;Kraków;małopolskie
2014;31-446;Kraków;Kraków;małopolskie
2014;30-870;Kraków;Kraków;małopolskie
2014;31-816;Kraków;Kraków;małopolskie
2014;30-968;Kraków;Kraków;małopolskie
2014;31-828;Kraków;Kraków;małopolskie
2014;30-968;Kraków;Kraków;małopolskie
2014;30-247;Kraków;Kraków;małopolskie
2014;30-647;Kraków;Kraków;małopolskie
2014;30-104;Kraków;Kraków;małopolskie
2014;30-951;Kraków;Kraków;małopolskie
2014;31-037;Kraków;Kraków;małopolskie
2014;30-681;Kraków;Kraków;małopolskie
2014;30-956;Kraków;Kraków;małopolskie
2014;30-634;Kraków;Kraków;małopolskie
2014;31-557;Kraków;Kraków;małopolskie
2014;30-965;Kraków;Kraków;małopolskie
2014;31-542;Kraków;Kraków;małopolskie
2014;31-557;Kraków;Kraków;małopolskie
2014;31-330;Kraków;Kraków;małopolskie
2014;30-730;Kraków;Kraków;małopolskie
2014;31-075;Kraków;Kraków;małopolskie
2014;31-075;Kraków;Kraków;małopolskie
